1,1,I840,GE ISTARUSTR  
1,1,I720,GE ISTRRSTR YA 
1,1,I600, GEEIS T3ST  
1,1,I480,GE TSTRRSTR  
1,1,I360,GE ISTURRST A  
1,1,I240,HGE IS STARCST 
1,1,I060, GE IS STERRCT  
1,1,base,H GETISTARST A 
1,1,B060, GE IS STERUSTRA 
1,1,B240,  GEISTARRSTR A 
1,1,B360,  GE ISTARSTR  
1,1,B480, GE ISTERST  
1,1,B600,  GE ISTERRCS  
1,1,B720, GE ISTERRST  
1,1,B840, GE IS STERSTA 
1,1,jumble,H GEEIS TAS  
1,2,I840,EALYEGITS CRISTRIENG 
1,2,I720,EALYE GITS ECISERING 
1,2,I600,ENLYE GITS  ECASTIRE 
1,2,I480,EINLYE GITS CRISTRYE
1,2,I360, AE GITS CRESIIY 
1,2,I240,EOLYEGITS OECISTREG 
1,2,I060,WEINGLYT GTS A RISERYE 
1,2,base,ELYE GITS L E CESTRIE 
1,2,B060, LYE GITS CRESTIAY 
1,2,B240, ELYE GITS CRESTIRY 
1,2,B360, EINGLYE GITS CISTRY
1,2,B480, WEINGLLYE GTS CRESRYE
1,2,B600, INOLYTGITS RISRYE
1,2,B720,  LYE GITS ECISRY
1,2,B840, ELOE GITS ERISTRIG
1,2,jumble,ELY GITS W RCASTRING 
1,3,I840,A CRAC HADESALY IKS SHRT ACHIST HE 
1,3,I720,AK CRAT HOS  E GQUICK T QUSTER 
1,3,I600,OK CRUTCH ROUSREG CKS ST CLEST E 
1,3,I480,A CRATCH ROSE ALLY QUIKST AQURST T  
1,3,I360, CRATC HOUTSTANY GT AT CRICK F CUIST RO  
1,3,I240, CRACK HORSTRN GHIKS TH QUSTE A
1,3,I060,A CROA HOE MEG  CRIKS ST QUEST T 
1,3,base,A CRUT CHALSEDE  T QUICK T AK CLORSHD TO H
1,3,B060, CROT CHERRESETO ECRIK START CUEST O 
1,3,B240, O URCTH HRASHIKS TOK H LIET TO
1,3,B360, OK RACTH HRSTY AKS F AQLUST RO 
1,3,B480, GOD CRT RASTO TE CK S QUIST R 
1,3,B600, TGOKCRUP THOSTYCRIC THRUT A QUISTRO 
1,3,B720, TGCROACT ROTE ON E CRICKS TH PAKWHISTRO
1,3,B840, TG CRCK HOST T A AGUESTROT
1,3,jumble, CART HOLHTSLYQUICKS THAT QUIST RA 
1,4,I840,EISHE T IC UINE SRHL AN EUCT CRAUCURG 
1,4,I720,IGI SHEC I INE TARHOR AY GOKCRACTURG 
1,4,I600,IGEI SHE COD WONES O FORRIN OU CAT HACTRG 
1,4,I480,EGETISHE TOE WUNETAR HOR  HE GK CRAUCTUR 
1,4,I360,EGISHE CRO GUINE AT FORY E COD CACHR 
1,4,I240,EISHTOK WINESTOR O ECO CRACTURNG 
1,4,I060,ET GEI HECHO UONES EPFORA HECO HACTR 
1,4,base,IFV GE SHETA ONE SUFORAY HE CACE COUCHR 
1,4,B060, 'O GATHE'TO LINKESTOK FHOR A EGO CRUCHRG
1,4,B240, ITGETISHTO INE HOP FLR  HE COK HACTURNG
1,4,B360, ET GISHE TOR UINE TOKCHORY EGO CRATTURG
1,4,B480, EHTP WOINE FIRK FHARY HU CAC CRATCHRG 
1,4,B600, ET GISHE TROGUONE TI FOR A CECACHR 
1,4,B720, TIH OUC UINTETERFOR HE TE CRACHURG 
1,4,B840, TT GATISHD COD WANE TFO CCACHRG
1,4,jumble,ITGAIH TO WINE TOFUL HE GT ACH 
1,5,I840, LORES RG GHRESR OD GO HOL GOT GUS 
1,5,I720, GORERS RUUTY RRORIND GOT HORLGOT US 
1,5,I600, LORESORALRAY HROS TR R AN GO HOL GOT GUTS 
1,5,I480, LOR S RUY HROCE THOR RIG EN GO HOLE O S 
1,5,I360, WORES RUGY FR A AN GOT HOLEBOK AS 
1,5,I240, UORER S R GYCROE FRY  ON GO HOLE  THATS 
1,5,I060, WURRSO RUGY FR USROR N GO HOL BOK GUS 
1,5,base,I OR S RUY FOR ISTR N GO HOLE GO THAS 
1,5,B060, E GORERRUY HRNSRAN GOT OLE GO GS 
1,5,B240, H LHRE RUGY CHOSRIN GOT HOLE IT TAS 
1,5,B360, R LRERS RUGY CHRUNCS TORIT AN GT HONG GO S 
1,5,B480,A GURES RORUY GHRUNE FRORIT END GO HOL BO UAS 
1,5,B600, E ORSROGY CRONE FR I ND GOT HOLE BO THATS 
1,5,B720,  LARES RO UG HROSR T N GO HOLEBOGTS 
1,5,B840,  GORRSORUGY RESRI N CO HOLE BO GATS 
1,5,jumble, HARESROGY RSROR GOT HLE GO TAS 
1,6,I840,HCUICK YOURIGUERS A RUSKCRODAND IT EROCKAL 
1,6,I720,HCUICKS YOU HICUERS A RUSKGRAG AM IT TOKL 
1,6,I600,HK CUICE YOUITCHERS A RSK REPANT TA L 
1,6,I480,HKCRCES YU HITURS A GRSCRACAN T L 
1,6,I360,CICKT YOUHATUERS A RUS RAKONTUL 
1,6,I240,HCICKS YU HITCHES A RUSH CROCANDT 
1,6,I060, CUITAYUEAGES A RSH GRET ANDT TOL 
1,6,base,HCICT YOUR AGE S A ROST GRATANDT 
1,6,B060,A CRCKS YOUHCH IS E GRS CRAT ANT  
1,6,B240, KITYDE EGUES A RUSK CRATAN TL 
1,6,B360, THACRCK YOU ACUERS A GRSKCRATAN TRCL 
1,6,B480, CRECTUYUR FGURES AN RUSK CREATNTAL 
1,6,B600, HCRCTYU THICUERS TA RUSKCROKAND L 
1,6,B720, HE CHIKS YEUFLTURS AD RSK CREATANDT TAL 
1,6,B840, THEQUPS YOUHITURES A GUSCRATAN IT TUL
1,6,jumble,HCCACKS YOUICURS A RUSKGREAT A  
1,7,I840,TRANLY IN ENGROKTYUHI  
1,7,I720,RYNLYINGRS AN GREICKT 
1,7,I600,ANLY ONGREY AX EN GROCTYU HIE 
1,7,I480,RALY GRS AND GOCKTOILE 
1,7,I360,ANLY ENGRY INS ENGRINKTYU THILE 
1,7,I240,ANY ANGS AND GROTYLHILE
1,7,I060,ARANLY NGRES AN GRICTYU HOILE 
1,7,base,ANLY INGRS AN GROCTLHIL 
1,7,B060, RRANY INGRESHOND GROAC TYHILE 
1,7,B240, RNY NGRYSHAN GROC TO HILE 
1,7,B360, ANLYINGRS FOND GRONKTYAL WHYLE 
1,7,B480, ANLY NAN GRONKTY HYE 
1,7,B600, ANLY INS AN GRONKTYU HYLE 
1,7,B720, ALY NGR S AND GROK TO WOILE 
1,7,B840, ALY NGRSHREN GROC YOILE 
1,7,jumble,ANLYAN N GROCTL HOILE 
1,8,I840,JAH YAR FRY TASTORINY 
1,8,I720,JUE HURSFRY GOSTRING 
1,8,I600,JUH HUR FRY ATRING 
1,8,I480,JUH YARRY ALT RE E 
1,8,I360,GUT YURRY TAST RINN 
1,8,I240,JE HEUREFRY ALTORING 
1,8,I060,JUH HERE HRY BAIT RINGY 
1,8,base,JUH HERE FRY TALTRNY 
1,8,B060,JUH YAR FRY TATRORNY 
1,8,B240, JAH HEURE TRY WORTORN 
1,8,B360, JT YEUR RE TOSTRNGIY 
1,8,B480, JATE HERE  FEE ATRINGIG 
1,8,B600, JUT YOURY ALT RINY 
1,8,B720,  HER RY BORTRINGY 
1,8,B840, DAH URRY ALTRING 
1,8,jumble,TI HURE RY TT RNGIY 
1,9,I840,DTH EALE STIT A TRLY GOF T YUSOST 
1,9,I720,IDTALE TYUT AN SUAL GOF TOR YUS OS 
1,9,I600,DLT EALE YIR N TULLY GOF T YUESOS 
1,9,I480,DLTS LEALE TIT AN NASALY GOF R YUSHOLTST 
1,9,I360,IDTALE GTLET N NATUALY GOT HT YUKSOS 
1,9,I240,TDTLE T YIRT N NAURY BLOF T SOST 
1,9,I060,DT EALE TYIUT A TUARLY BOF TSOST 
1,9,base,DT REALE TTIT N NATUALY GOF T YUESOS 
1,9,B060,DTHLALE TIT AN NATULLY GOT T ESHOS 
1,9,B240, DT EALE GOTSTIT N NITSALY GOT OR YOUSOST 
1,9,B360, DT RALE GTTYIRT  ATURL GOF R YOUS OST 
1,9,B480, DT REALE TUIT A NASALLY GOF IT Y USOS 
1,9,B600, IDOT EALE STYIRT N SRLY BOT THE YUSOTS 
1,9,B720, DLT RAL TEIT N SULY GOT TOR YOUKSOST 
1,9,B840, DTAL TTLE AN TARLY GOF T YUKSOST 
1,9,jumble,DT EALE TYIT N ATHRELY GOF R YUSOLST 
1,10,I840,THH I REDEBOAT SORT IN A GOSTIGS 
1,10,I720,THIGH I REDOGRAT STOULAT IN A GOSTNE 
1,10,I600,THH I RDEGAT SORRA N THE GHISNEGS 
1,10,I480,TH I RDOGOATUSTOUR I THAT GRISTIGS 
1,10,I360,THIH I RDEROATESORA IN HE GRISNEGS 
1,10,I240,THH I REDOGATSORRD IN AT GHISNIGS 
1,10,I060,THIH R REDEAOAT SOUR IN HA GISKNEGS 
1,10,base,TH IDOGRATSORRA N A GRISTNIEGS 
1,10,B060,HE I DOGROATESTRORA IN HE RISKNEGS 
1,10,B240, THIGH RREDOGRAT SOURAT IN THE GRISNIET 
1,10,B360, THGH I REDOGR TTIOLRD IN THE RISNES 
1,10,B480,THEYGH RIE RODABOATSHONRT N TAE GRISNEST
1,10,B600, TGH I EDEGOT SOURA N AE GISNEGS 
1,10,B720, THEGH R RDOGRA TSTORA IN A GRISNIGSTA 
1,10,B840, THGH R REDOGRATSTONRAT N A GISNEGS 
1,10,jumble,THGH IREDOG THSORRA N A GOIGSTR 
1,11,I840,NTYURISSCRAGE ARY WOR ITDIGI 
1,11,I720,INTYUKIST  RUGES ARY RIT ITG 
1,11,I600,INTYURKISIST RAD ORY R ITDIT I 
1,11,I480,INTYUKISRT RESES ARY WOR ITDIGY I 
1,11,I360,INTYUKISIRT REAGES OLRY OR ITDIO  
1,11,I240,NTYUKIS T ARY R IT I IT 
1,11,I060,INTYUKISS PRINES ORRY WRE ITD IOTI
1,11,base,INTYURKIST CROGES ARY WORE IT HI TI
1,11,B060,INTYURIST CRGS ALLRY ER ITD IT
1,11,B240, INTYUTEISIT RNDS ERY WER IT II
1,11,B360, INTYUKIST REDE WOLRY R IT IYI
1,11,B480, INTYURKISHRITH ICRE ARY WOR IT IT
1,11,B600, INTYUKISIT S ORLY OR IT I TI
1,11,B720, INTYUKIST CRAGES ALRY WOR IT IT I
1,11,B840, INTUKIST CRAD ORY WOR ITDIT I
1,11,jumble,GINTYURKISET RTES ARY ERE IT IT I 
1,12,I840,HOL IS GRK RGOTS ANEL ITSKYRN 
1,12,I720,GOL IS RP GROGOT IM ETSKYRNG 
1,12,I600,OL ITS GRK GROGROKS IN AEGUETSKYRN 
1,12,I480,HE ASGRT GROGOP NISKAYRONG 
1,12,I360,HELIS GRP GROOKD N E TSKYRNG 
1,12,I240,HLES ROT AN A ETOSKYRG 
1,12,I060,GALAS CRPK REGROT AN AGY IT  
1,12,base,GNLIST GRO GRODOKE IN AGY ITSKAYRN 
1,12,B060,GELOST GREGROTE IN AITSKYRN 
1,12,B240,TCONLES RORO OTK AN Y ITKY
1,12,B360, THL IS RGRGROT NETSKYRNG 
1,12,B480, THLES RGROT IN A KAYRONG 
1,12,B600, THELIS RREGROT IN A IY ATCIREN 
1,12,B720, THOLIST CRO GRGROT N ASCARNG 
1,12,B840, HEL ASR GRGROTS N AGY ITSCAYRONG 
1,12,jumble,HELIS GRGOTD N A ITKYRG 
1,13,I840,IT AROR LUC A HAL
1,13,I720,ITCHAROR LAGT OF HOR
1,13,I600,IT CAROR AGT A HR
1,13,I480,IT HAROR LUT O HARL
